SITE_ID,DEPTHMAX,2007 catchment data.PCT_BARREN_BSN,2007 catchment data.PCT_DEVELOPED_BSN,2007 catchment data.PCT_FOREST_BSN,2007 catchment data.PCT_SHRUBLAND_BSN,2007 catchment data.PCT_GRASS_BSN,catchment_Forestall,2007 catchment data.PCT_AGRIC_BSN,2007 catchment data.PCT_WETLAND_BSN,2007 buffer data.PCT_DEVELOPED_BUFR,2007 buffer data.PCT_BARREN_BUFR,2007 buffer data.PCT_FOREST_BUFR,2007 buffer data.PCT_SHRUBLAND_BUFR,2007 buffer data.PCT_GRASS_BUFR,buffer_forest_all,2007 buffer data.PCT_AGRIC_BUFR,2007 buffer data.PCT_WETLAND_BUFR,NUT_REG,Residence time,Catchment Area (km2),Lake Area (Km2),Relative Catchment Size,LON_DD,LAT_DD,ELEV_PT,Table1.CL_PPM
NLA06608-0880,3.1,0,3.4,0.1,0.1,42.1,42.3,53.7,0.4,5.3,0.4,0,0,15.8,15.8,0.8,9,V,0.84,4540.078095,7.406546548,612.9817811,-102.1976293,39.61349449,1119.24,17.789
NLA06608-0881,11.6,0.3,0.5,75.7,17.2,2.4,95.3,0.6,2.2,1.3,0.4,18.9,36,0.2,55.1,1.2,10.5,II,0.3,406.6592788,9.118175218,44.59875678,-118.0456408,44.68029866,1241.7,0.594
NLA06608-0885,6.5,0.6,30.7,2.1,42,23.4,67.5,0.2,0.5,35.4,0,0,8.3,18.3,26.6,0,13.6,III,0.56,86.76265447,0.267345594,324.5336988,-117.4401855,33.74732977,352.21,193.365
NLA06608-0889,2.8,0.1,0.5,1,96.8,0.9,98.7,0.1,0.3,4.4,3.7,0,51.7,4.9,56.6,6.7,2,III,0.11,302.1443759,2.333334357,129.49039,-116.5205894,41.21839793,1645.33,13.211
NLA06608-0890,8.5,0,0.4,83.4,1,0.2,84.6,0,0.8,0.9,0,66.3,0.4,0,66.7,0,0.2,VIII,1.52,6.021154073,0.592063823,10.16977197,-90.41206384,48.04237609,523.79,2.634
NLA06608-0891,2.6,0.1,3.4,1.3,1.9,69.1,72.3,23.4,0.7,6.6,0,0,0,23.7,23.7,16.2,15.5,V,0.33,3109.180741,0.902652545,3444.493408,-103.8250886,41.22739765,1463.67,29.523
NLA06608-0893,10.5,0,5.4,62.2,0,1.9,64.1,27.1,0,4.9,0,58,0,0.4,58.4,0.3,0.1,XI,0.06,125.1932203,3.862780202,32.41013305,-81.16283175,40.4600301,294.8,6.968
NLA06608-0895,2,0.1,1.1,42.3,46.3,9.7,98.3,0.1,0.2,1.1,0.1,0,50.9,10.8,61.7,0,11,II,0.33,1905.864372,5.29233009,360.1181974,-109.3628312,34.36024322,1822,13.22
NLA06608-0899,2.1,0,3.6,0,0.1,49,49.1,32.1,3.5,1.2,0,0,0,21.7,21.7,5.4,0.3,V,0.92,246.9559159,0.865480116,285.3397916,-99.42139052,46.64962378,551.81,800.897
NLA06608-0900,8.2,0,4.6,28,0,0.7,28.7,62.8,0,3.6,0,62,0,0.4,62.4,0.9,0,IX,0.26,55.58592259,2.338842349,23.76642556,-88.7625553,38.72322531,155.71,9.454
NLA06608-0904,2.7,0.1,12.2,0.3,0,8.7,9,70.4,4.7,12,0,0,0,13.9,13.9,22.5,16.7,VI,0.17,32.6646,0.958995218,34.06127516,-96.33164966,42.30712511,324.62,25.569
NLA06608-0905,10.2,0.4,0,34.7,42.9,1.8,79.4,0,0,0,0.2,22.1,18.6,0,40.7,0,0,II,3.91,7.445926322,1.409360139,5.283196336,-119.9011897,39.17160197,2385.72,0.276
NLA06608-0906,48,6.4,0,29.3,26.2,32.7,88.2,0,0.2,0,0,34,0.8,0,34.8,0,1,II,0.85,39.03192208,1.857625724,21.01172565,-110.796597,43.64334502,2021.7,0.177
NLA06608-0913,2.8,0.2,0,70,15.2,0,85.2,0,11.5,0,0,34.5,4.9,0,39.4,0,31.1,VIII,0.65,38.42050868,1.043874979,36.80566107,-69.22774755,46.36895187,307.8,0.232
NLA06608-0914,10.7,0,0,69.4,4.5,0,73.9,0.5,0.2,0,0,54.3,1.6,0,55.9,0,0.8,VIII,1.69,3.294281329,0.834465783,3.94777281,-67.69930253,44.7665922,69.91,2.271
NLA06608-0915,1.7,0,4.3,9.6,0,0.8,10.4,65.6,10.8,7.4,0,16,0,0,16,16.8,34,VII,0.53,12.45486923,0.042979225,289.7881297,-96.23531854,47.5788475,348.7,6.168
NLA06608-0916,8.7,20.3,0,9.8,0,68.9,78.7,0,0.2,0,7.1,29.2,0,53.7,82.9,0,0,II,0.33,12.21194024,0.102229312,119.4563477,-105.1064368,38.79133283,3147,0.879
NLA06608-0918,22.5,0.7,0,79.6,10.6,0.1,90.3,0,5.4,0,0,36.7,1,0,37.7,0,4.7,VIII,0.27,105.0268376,2.828829075,37.12731834,-70.35478251,45.63536489,378.84,0.176
NLA06608-0921,7,0.1,13.1,57.3,1.6,4.5,63.4,18.3,2.2,1.4,0,58.1,0.6,1.9,60.6,0.8,0.2,IX,0.27,1998.35282,6.675551704,299.3539573,-78.57809968,35.95443189,75.75,7.08
NLA06608-0922,33.9,0.1,1.1,21.1,34,28.8,83.9,4.7,2.2,0,0.1,0,4.8,6.7,11.5,0,0,IV,3.06,154.382877,8.226826629,18.7657871,-106.7540577,44.46680722,1392,2.01
NLA06608-0924,1.4,0,0,0,0,0,0,0,0,0,0,0,0,32.5,32.5,0,11.6,IV,0.2,0.144679655,0.130008801,1.112845083,-100.5912717,42.53263874,884.24,1.892
NLA06608-0925,19.5,4.3,0.9,26.6,55.3,9.4,91.3,2,0.8,0,1.1,0,22.2,0.1,22.3,0,0.6,III,0.56,419217.202,611.3321842,685.7437132,-114.4484101,36.11204382,353,99.426
NLA06608-0926,22,0,3.5,73.3,0,0,73.3,0,3,5,0,37.6,0,0,37.6,0,5.8,VIII,6.11,3.676063156,0.708648489,5.1874282,-91.03611959,46.27836202,435.99,0.676
NLA06608-0927,3,0.1,5,0.1,23,3.1,26.2,44.6,5.2,2.5,0,0.2,4.1,0.2,4.5,7.3,13.2,III,1.15,25.46387349,4.529226694,5.622123866,-109.6839624,40.19262068,1463.07,12.76
NLA06608-0929,8.8,0,0.6,72.4,9.8,4.6,86.8,0.3,0.1,2.9,0,15.2,6.5,4.6,26.3,0.2,0.2,II,0.78,96.02940361,11.270674,8.520289346,-113.2957121,46.17967552,1944,0.997
NLA06608-0930,39,0.1,7.4,62,2.3,0.3,64.6,2.6,3.9,7,0,19.3,0.3,0,19.6,0.4,0.7,VIII,2.61,1102.049861,16.69501392,66.01071831,-71.50524998,43.53424744,146.79,15.081
NLA06608-0933,7.3,0,0,33.3,59.4,5.6,98.3,0.4,0.6,0,0.1,0.3,21.6,2.2,24.1,2.1,2.6,II,0.08,1156.888232,7.167882587,161.3988815,-118.1504274,43.92762751,1019.15,1.365
NLA06608-0934,45,5,0,62.1,0.9,0,63,0,0,0,1.7,16.9,0.4,0,17.3,0,0,II,10.38,76.24477974,24.43702689,3.120051391,-122.0382458,43.73612725,1651.51,0.24
NLA06608-0935,8.6,0,4.5,10,2.2,0.7,12.9,55.5,2.9,4.4,0,10.7,3.1,0.4,14.2,26,6.2,VII,2.53,2.752520688,0.701298513,3.924891665,-93.4604842,44.6510154,288.05,43.732
NLA06608-0938,19,0.2,8.7,38.6,2.2,9.5,50.3,18.2,18.6,22.6,2.4,1.3,0.3,1.1,2.7,0,3.6,VII,0.37,6967.619939,18.99633474,366.7875953,-86.2884379,43.23106073,176.65,24.397
NLA06608-0940,2.1,0,0,0,0,2.3,2.3,0,0.2,8.2,0,0,0,31.8,31.8,2.4,3.4,V,0.18,0.984878651,0.982749484,1.002166541,-103.5255076,41.95740591,1253.35,17.116
